hit_id,assignment_id,worker_id,variable,value
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3O7L7BFSHYFPPYWUTOZYBRG25CMIEY,A2YW7RDY1OLC66,data,"{""0"":""coach"",""1"":{""How Creative?"":""83"",""Increased AI use makes you feel"":""More concerned than excited""},""2"":{""Prompt"":""Fork"",""Response"":[{""id"":0,""name"":""This is use to eat food."",""time"":""2024-03-13T20:28:25.949Z"",""iid"":0},{""id"":1,""name"":""People are rich only use"",""time"":""2024-03-13T20:28:40.821Z"",""iid"":1}]},""3"":{""Prompt"":""Pants"",""Response"":[{""id"":2,""name"":""This use to mens."",""time"":""2024-03-13T20:30:45.360Z"",""iid"":0},{""id"":3,""name"":""This is wear metirials"",""time"":""2024-03-13T20:31:00.018Z"",""iid"":1},{""id"":4,""name"":""Look very hansome."",""time"":""2024-03-13T20:31:15.849Z"",""iid"":2}]},""4"":{""Prompt"":""Shoe"",""Response"":[{""id"":5,""name"":""This is shoes."",""time"":""2024-03-13T20:31:34.908Z"",""iid"":0},{""id"":6,""name"":""This use ful to runing and walking."",""time"":""2024-03-13T20:31:53.777Z"",""iid"":1},{""id"":7,""name"":""Its very help to sports."",""time"":""2024-03-13T20:32:20.387Z"",""iid"":2}]},""5"":{""Prompt"":""Tire"",""Response"":[{""id"":8,""name"":""This is tire."",""time"":""2024-03-13T20:35:34.055Z"",""iid"":0}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""More excited than concerned"",""q3"":""4"",""q4"":""100"",""q5"":""No. ""},""assignmentId"":""3O7L7BFSHYFPPYWUTOZYBRG25CMIEY"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A2YW7RDY1OLC66"",""ts_submitted_"":""2024-03-13T20:38:33.582Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,creative-slider,85
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,q5,None
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,workerId,A35BJZCQC3ETPX
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3634BBTX08KHVCWQOZJ4T912HD1IFG,A35BJZCQC3ETPX,data,"{""0"":""coach"",""1"":{""How Creative?"":""88"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Table"",""Response"":[{""id"":0,""name"":""Use it as a unique and spacious canvas for a painting or art piece"",""time"":""2024-03-13T20:40:44.434Z"",""iid"":0}]},""3"":{""Prompt"":""Backpack"",""Response"":[{""id"":1,""name"":""Mobile pet carrier for small animals"",""time"":""2024-03-13T20:42:14.537Z"",""iid"":0}]},""4"":{""Prompt"":""Fork"",""Response"":[{""id"":2,""name"":""Use as a hair accessory by bending the tines into a unique design"",""time"":""2024-03-13T20:44:54.107Z"",""iid"":0}]},""5"":{""Prompt"":""Bottle"",""Response"":[{""id"":3,""name"":""A mini aquarium for a single goldfish"",""time"":""2024-03-13T20:47:19.362Z"",""iid"":0},{""id"":4,""name"":""A plant watering tool by adding a small nozzle to the cap"",""time"":""2024-03-13T20:48:00.014Z"",""iid"":1}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""Equally excited and concerned"",""q3"":""4"",""q4"":""85"",""q5"":""None""},""assignmentId"":""3634BBTX08KHVCWQOZJ4T912HD1IFG"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A35BJZCQC3ETPX"",""ts_submitted_"":""2024-03-13T20:48:56.784Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,q3,3
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,creative-slider,98
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,q5,none
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,workerId,A1M1UFZJSPPN6Q
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3VAR3R6G19RICJX6EGQ33EG26IN8OK,A1M1UFZJSPPN6Q,data,"{""0"":""generate"",""1"":{""How Creative?"":""100"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Toothbrush"",""Response"":[{""id"":0,""name"":""grout cleaner"",""time"":""2024-03-13T20:41:16.238Z"",""iid"":0},{""id"":1,""name"":""keyboard cleaner"",""time"":""2024-03-13T20:41:27.646Z"",""iid"":1},{""id"":2,""name"":""vegetable cleaner"",""time"":""2024-03-13T20:41:39.531Z"",""iid"":2}]},""3"":{""Prompt"":""Backpack"",""Response"":[{""id"":3,""name"":""portable mini garden"",""time"":""2024-03-13T20:43:08.149Z"",""iid"":0},{""id"":4,""name"":""mobile liabrary"",""time"":""2024-03-13T20:43:22.344Z"",""iid"":1},{""id"":5,""name"":""camera bag"",""time"":""2024-03-13T20:43:48.361Z"",""iid"":2}]},""4"":{""Prompt"":""Lightbulb"",""Response"":[{""id"":6,""name"":""tiny terraium"",""time"":""2024-03-13T20:44:16.410Z"",""iid"":0},{""id"":7,""name"":""christmas ornament"",""time"":""2024-03-13T20:45:22.193Z"",""iid"":1},{""id"":8,""name"":""jewelry "",""time"":""2024-03-13T20:45:38.519Z"",""iid"":2}]},""5"":{""Prompt"":""Pants"",""Response"":[{""id"":9,""name"":""jeans"",""time"":""2024-03-13T20:47:12.482Z"",""iid"":0},{""id"":10,""name"":""pant"",""time"":""2024-03-13T20:47:17.838Z"",""iid"":1},{""id"":11,""name"":""shirt"",""time"":""2024-03-13T20:47:26.749Z"",""iid"":2}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""Equally excited and concerned"",""q3"":""3"",""q4"":""98"",""q5"":""none""},""assignmentId"":""3VAR3R6G19RICJX6EGQ33EG26IN8OK"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A1M1UFZJSPPN6Q"",""ts_submitted_"":""2024-03-13T20:50:58.677Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,creative-slider,0
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,q5,Nothing
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,workerId,AOUCGFFGELTA7
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J,AOUCGFFGELTA7,data,"{""0"":""generate"",""1"":{""How Creative?"":""0"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Toothbrush"",""Response"":[{""id"":0,""name"":""To clean our teeth daily"",""time"":""2024-03-13T20:41:34.173Z"",""iid"":0}]},""3"":{""Prompt"":""Shoe"",""Response"":[{""id"":1,""name"":"""",""time"":""2024-03-13T20:43:31.249Z"",""iid"":0},{""id"":2,""name"":"""",""time"":""2024-03-13T20:43:44.186Z"",""iid"":1}]},""4"":{""Prompt"":""Bottle"",""Response"":[{""id"":3,""name"":""Daily drink water "",""time"":""2024-03-13T20:45:07.791Z"",""iid"":0},{""id"":4,""name"":""Bottles saves our society"",""time"":""2024-03-13T20:46:00.484Z"",""iid"":1}]},""5"":{""Prompt"":""Fork"",""Response"":[{""id"":5,""name"":""supporting for eating"",""time"":""2024-03-13T20:48:34.287Z"",""iid"":0}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""Equally excited and concerned"",""q3"":""4"",""q4"":""0"",""q5"":""Nothing""},""assignmentId"":""3Z2R0DQ0J14LEDIS4LE6OB9LGGPE2J"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""AOUCGFFGELTA7"",""ts_submitted_"":""2024-03-13T20:51:44.981Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,q2,More concerned than excited
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,q3,5
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,creative-slider,86
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,q5,no
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,workerId,A22T0PKVR6VIBC
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU,A22T0PKVR6VIBC,data,"{""0"":""coach"",""1"":{""How Creative?"":""100"",""Increased AI use makes you feel"":""More excited than concerned""},""2"":{""Prompt"":""Table"",""Response"":[]},""3"":{""Prompt"":""Pants"",""Response"":[]},""4"":{""Prompt"":""Shoe"",""Response"":[{""id"":0,""name"":""sliper"",""time"":""2024-03-13T20:47:55.450Z"",""iid"":0}]},""5"":{""Prompt"":""Ball"",""Response"":[{""id"":1,""name"":""ball"",""time"":""2024-03-13T20:50:53.515Z"",""iid"":0},{""id"":2,""name"":""bat"",""time"":""2024-03-13T20:51:07.005Z"",""iid"":1}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""More concerned than excited"",""q3"":""5"",""q4"":""86"",""q5"":""no""},""assignmentId"":""3FE2ERCCZHY3IBWN0XSEP0BSVSXOPU"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A22T0PKVR6VIBC"",""ts_submitted_"":""2024-03-13T20:53:40.398Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,q1,Somewhat difficult
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,creative-slider,65
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,q5,No I did not faced any issue.
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,workerId,AJ173YQLT4Z9A
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3OONKJ5DKW91EHVDHSADUG63EO8BOM,AJ173YQLT4Z9A,data,"{""0"":""absent"",""1"":{""How Creative?"":""65"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Lightbulb"",""Response"":[{""id"":0,""iid"":0,""name"":""The bulb can be used as a decorative item in a house."",""time"":""2024-03-13T20:51:02.516Z""}]},""3"":{""Prompt"":""Backpack"",""Response"":[{""id"":1,""iid"":0,""name"":""A bagpack can be used as a carrier for pets."",""time"":""2024-03-13T20:53:47.471Z""}]},""4"":{""Prompt"":""Toothbrush"",""Response"":[{""id"":2,""iid"":0,""name"":""It can be use to clean strain on shoes."",""time"":""2024-03-13T20:54:59.927Z""},{""id"":3,""iid"":1,""name"":""It can be use to clean dust on a electic circuit"",""time"":""2024-03-13T20:56:08.081Z""},{""id"":4,""iid"":2,""name"":"""",""time"":""2024-03-13T20:56:08.084Z""}]},""5"":{""Prompt"":""Table"",""Response"":[{""id"":5,""iid"":0,""name"":""A table can also be used as a workshop bench."",""time"":""2024-03-13T20:58:34.148Z""}]},""feedback"":{""q1"":""Somewhat difficult"",""q2"":""Equally excited and concerned"",""q3"":""4"",""q4"":""65"",""q5"":""No I did not faced any issue.""},""assignmentId"":""3OONKJ5DKW91EHVDHSADUG63EO8BOM"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""AJ173YQLT4Z9A"",""ts_submitted_"":""2024-03-13T21:00:27.486Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,q1,Very easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,q2,More concerned than excited
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,q3,5
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,creative-slider,81
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,q5,no very perfect hit
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,workerId,A102C1DTGBA0K
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3GU1KF0O42RJZH7EWSNSJGBTOT4BP3,A102C1DTGBA0K,data,"{""0"":""coach"",""1"":{""How Creative?"":""75"",""Increased AI use makes you feel"":""More concerned than excited""},""2"":{""Prompt"":""Tire"",""Response"":[{""id"":0,""name"":""use for the car "",""time"":""2024-03-13T20:57:38.271Z"",""iid"":0},{""id"":1,""name"":""important part of car and bike"",""time"":""2024-03-13T20:58:21.847Z"",""iid"":1}]},""3"":{""Prompt"":""Table"",""Response"":[{""id"":2,""name"":""use for the eating "",""time"":""2024-03-13T20:59:32.800Z"",""iid"":0},{""id"":3,""name"":""use for the ironng"",""time"":""2024-03-13T20:59:56.148Z"",""iid"":1},{""id"":4,""name"":""use for the tv stand"",""time"":""2024-03-13T21:00:40.912Z"",""iid"":2}]},""4"":{""Prompt"":""Shoe"",""Response"":[{""id"":5,""name"":""use for the walk and runing"",""time"":""2024-03-13T21:01:56.804Z"",""iid"":0}]},""5"":{""Prompt"":""Bottle"",""Response"":[{""id"":6,""name"":""use for the drink"",""time"":""2024-03-13T21:05:22.776Z"",""iid"":0}]},""feedback"":{""q1"":""Very easy"",""q2"":""More concerned than excited"",""q3"":""5"",""q4"":""81"",""q5"":""no very perfect hit""},""assignmentId"":""3GU1KF0O42RJZH7EWSNSJGBTOT4BP3"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A102C1DTGBA0K"",""ts_submitted_"":""2024-03-13T21:07:56.626Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,creative-slider,55
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,q5,No.
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,workerId,A24UWUL93BCA60
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95,A24UWUL93BCA60,data,"{""0"":""absent"",""1"":{""How Creative?"":""55"",""Increased AI use makes you feel"":""Equally excited and concerned""},""2"":{""Prompt"":""Backpack"",""Response"":[{""id"":0,""iid"":0,""name"":""A bag can be used as a pillow while travelling. "",""time"":""2024-03-13T21:05:39.779Z""}]},""3"":{""Prompt"":""Pants"",""Response"":[{""id"":1,""iid"":0,""name"":""A pant can be used as a cleaning clothes."",""time"":""2024-03-13T21:07:08.945Z""},{""id"":2,""iid"":1,""name"":""A pant can used as a small rope."",""time"":""2024-03-13T21:08:27.190Z""}]},""4"":{""Prompt"":""Toothbrush"",""Response"":[{""id"":3,""iid"":0,""name"":""A tooth brush can be used as a cleaning tool for small spaces and objects. "",""time"":""2024-03-13T21:09:36.029Z""},{""id"":4,""iid"":1,""name"":""A too brush can be used as a grooming tool."",""time"":""2024-03-13T21:10:09.668Z""}]},""5"":{""Prompt"":""Shoe"",""Response"":[{""id"":5,""iid"":0,""name"":""Shoes can be used to hide small things."",""time"":""2024-03-13T21:12:44.933Z""},{""id"":6,""iid"":1,""name"":""Shoes can be used as playable toys for pets"",""time"":""2024-03-13T21:13:29.077Z""}]},""feedback"":{""q1"":""Somewhat easy"",""q2"":""Equally excited and concerned"",""q3"":""4"",""q4"":""55"",""q5"":""No.""},""assignmentId"":""3JAOYWH7V2UAK3DJ6GGPBT7JVJ0L95"",""hitId"":""31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE"",""workerId"":""A24UWUL93BCA60"",""ts_submitted_"":""2024-03-13T21:14:18.205Z""}"
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,q1,Somewhat easy
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,q2,Equally excited and concerned
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,q3,4
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,creative-slider,59
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,q5,No.
31YWE12TFJ2YJU9MF0GSJ7F9IRV7XE,3AMW0RGHOXSL0QWBZIS1ABBN5IINP4,A3JEZEPRDOOQ58,workerId,A3JEZEPRDOOQ58
